,name,Likes,tags,quote
118,E.B. White,0 likes,"authors,fascism,freedom,writers","“A writer goes about his task today with the extra satisfaction which comes from knowing that he will be the first to have his head lopped off--even before the political dandies. In my own case this is a double satisfaction, for if freedom were denied to me by force of earthly circumstance, I am the same as dead and I would infinitely prefer to go into fascism without my head than with it, having no use for it anymore and not wishing to be saddled with so heavy an encumbrance.”"
119,shannon l. alder,0 likes,"authors,justice,revenge,writers",“Justice always happens when you know how to write and Jesus is your co-author.”
120,Kim Stanley Robinson,2 likes,"activism,authors,future,novels,politics,post-capitalist-society,writing","“I consider my novels, amongst many other things, to be my political activism. I’m interested in portraying futures where there are more cooperative, altruistic, post-capitalist systems that are working well.”"
121,Laura Chouette,1 likes,"aesthetic,authors,deep-quotes,generation,inspiration,inspirational,life-quotes,quotes-about-life,writing",“Love is too much for our generation - that's why it dies in our hands but blooms at our feet.”
122,Fredrik Backman,1 likes,"authors,books,writing",“Authors are like musicians who never get to the point.”
123,Emily Temple,1 likes,"authors,books,reading,writers,writing","“After all, one of the great things about books is that they don’t disappear after the first year of their publication—barring floods and thieves, they can loiter forever on your shelves, waiting to be picked up and rediscovered, manic publicity cycle be damned. They can be revisited, loaned out, traded, forgotten and found. They can have strange, long lives.”"
124,Pip Williams,1 likes,"authors,feminism,feminist-literature,inspirational,women-empowerment","“Literately’ was used in a novel by Elizabeth Griffiths. While no other examples of use have been forthcoming, it is, in my opinion, an elegant extension of ‘literate’. Dr. Murray agreed I should write an entry for the Dictionary, but I have since been told it is unlikely to be included. It seems our lady author has not proved herself a ‘literata’- an abomination of a word coined by Samuel Taylor Coleridge that refers to a ‘literary lady’. It too has only one example of use, but its inclusion is assured. This may sound like sour grapes, but I can’t see it catching on. The number of literary ladies in the world is surely so great as to render them ordinary and deserving members of the literati.”"
125,Betty Smith,1 likes,"authors,creative-writing,storytelling,writers,writing","“France always remembered what that kind teacher told her. ""You know, Francie, a lot of people would think that these stories that you're making up all the time were terrible lies because they are not the truth as people see the truth. In the future, when something comes up, you tell exactly how it happened but write down for yourself the way you think it should have happened. Tell the truth and write the story. Then you won't get mixed up,”"
126,Laura Chouette,0 likes,"aesthetic,authors,dark-academia,deep-quotes,inspirational-quotes,life-quotes,quotes-about-life,words,writers",“I dared to dance along broken lines
127,Nuria Marcilla,0 likes,"authors,history,madrid,writers","“El oficio de escritor no es sólo contar una historia, sino arañar almas”"
128,Susan Wiggs,0 likes,"authors,cocktails,namesake","“The penthouse bar had an even more commanding view, and craft cocktails named after local or formerly local writers and their books--- the Anne Rice blood orange martini, the Tsukiyama Samurai, the Christopher Moore Demon, the Joy Luck Cocktail.”"
129,Emaan Afzal,0 likes,"author,author-quotes,authors,books,books-quotes,books-reading,inspirational,life-lessons,quotes",“Sometimes crying out loud alone is the best feeling ever when nobody is watching.”
130,Alistair Cross,0 likes,"author-quotes,authors,book-quotes,books,horror","“All human beings have been given free will, and nothing, not even the darkness, can defy that.”"
131,Alistair Cross,0 likes,"author-quotes,authors,vampire-series,vampires","“Gretchen VanTreese looked like a little girl's favorite doll -- the kind that stayed in its box and never got played with. Even so, Ethan was terrified.”"
132,Alistair Cross,0 likes,"authors,book-quotes,vampire-series,vampires","“If the woman in black knew anything at all, it was how to wait. She'd been doing it for centuries.”"
133,Michael Lieber,0 likes,"21st-century-quotes,authors,life,michael-lieber,philosophical,writers","“Always pay homage to the soldier, and the harlot, for they are the martyrs of humanity’s growth”"
134,Michael Lieber,0 likes,"21st-century-life,authors,michael-lieber,technology-addiction,writers","“If reality is a mess, take care with a virtual one, or you may loss both”"
135,Gary Shteyngart,0 likes,"anton-chekhov,authors,chekhov,humans,life,living,plays","“But he had to think like a character in a Chekhov play, forever taunted by desires but trapped in a life much too small to accommodate the entirety of a human being. That was why Chekhov was eternally beloved.”"
136,Krish Chitroda,0 likes,"authors,new,new-quotes,quotes,quotes-about-life","“Life is like a piano, you have to press the right key at right time and the music of life will be melodious.”"
137,Emily R. McCormick,0 likes,"angel-quotes,angels,authors,flying,wings",“Authors are angels in disguise that create the wings they need to fly.”
138,Ralph Waldo Emerson,0 likes,"authors,criticism,poets","“Criticism should not be querulous and wasting, all knife and root-pulling, but guiding, instructive, and inspirational--a south wind and not an east wind.”"
139,Luisa Capetillo,0 likes,"authors,inspirations,leo-tolstoy,reading,tolstoy,writers,zola","“Well, my friends, don’t let my ways surprise you. I have read Malatesta, Tolstoy and Zola, so I have understood many things that I couldn’t before”"
140,Modou Lamin Age-Almusaf Sowe,0 likes,authors,"“As a child and an adult, most of my life has been spent in Africa, and for nearly a decade, much of my literary production has focused on my interaction with the environment. Drawing on long-term ethnographic research and intellectual honesty, I would like to provide you with a critical analysis of peoples’ ability to borrow money from God.”"
141,Herman Melville,0 likes,"authors,books,spirit-of-reading","“Would that all excellent books were foundlings, without father or mother, that so it might be, we could glorify them, without including their ostensible authors.”"
142,Zoe York,0 likes,"authors,writing",“Write the most commercial story of your heart.”
143,J.S. Walker,0 likes,"authors,inspirational,writers-on-writing","“No matter what level of writing you are currently at, we all struggle with writer’s block. So never get discouraged, overthink, or overindulge. Take a break from the work, come back to it, and give yourself grace in your creative niche. It takes bravery to bring such vulnerable work into the open and never stop feeding that need to let out through writing.”"
